Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2013-06-30,135000.0,549900.0,,179998.0,105199.0,,,300000.0,465000.0,539900.0,,,,209900.0,,,387500.0,129900.0,570000.0,,114900.0,,217000.0
2013-07-31,138500.0,559945.0,,181990.0,104500.0,,,315000.0,476950.0,500000.0,,,,221000.0,,,394500.0,130750.0,577450.0,,109900.0,,219951.5
2013-08-31,139900.0,574450.0,,180990.0,99900.0,,,319000.0,484900.0,524990.0,,,,204950.0,,,449500.0,129950.0,549900.0,,109900.0,,224900.0
2013-09-30,139900.0,575000.0,,179990.0,109900.0,,,334990.0,522400.0,526450.0,,,,219000.0,,,449000.0,129900.0,578044.0,,112250.0,,224204.0
2013-10-31,143426.0,569900.0,,196990.0,109950.0,,,354950.0,499900.0,522219.5,,,,234950.0,,,469000.0,129900.0,589900.0,,109900.0,,224220.0
2013-11-30,139900.0,579995.0,,189450.0,109900.0,,,354500.0,569900.0,549450.0,,,,234900.0,,,424900.0,129900.0,585500.0,,109900.5,,224877.5
2013-12-31,139400.0,584990.0,,188000.0,109000.0,,,354500.0,575000.0,574950.0,,,,226950.0,,,445700.0,129900.0,618500.0,,110000.0,,224220.0
2014-01-31,138600.0,554990.0,,179990.0,109900.5,,,349900.0,575000.0,569450.0,,,,244950.0,,,439900.0,129900.0,628900.0,,109900.0,,223295.0
2014-02-28,139900.0,565000.0,,182900.0,114900.0,,,354500.0,564950.0,522400.0,,,,248400.0,,,424900.0,124800.0,599000.0,,110000.0,,224900.0
2014-03-31,139900.0,577450.0,,179900.0,115450.0,,,349900.0,539000.0,539900.0,,,,259450.0,,,419850.0,131950.0,624900.0,,115000.0,,219900.0
2014-04-30,149900.0,564500.0,,175000.0,114900.0,,,364900.0,539000.0,569900.0,,,,250000.0,,,424900.0,135900.0,631950.0,,115000.0,,227495.0
2014-05-31,150650.0,549900.0,,187990.0,114900.0,,,339990.0,507450.0,589950.0,,,,259900.0,,,439200.0,133400.0,646700.0,,124000.0,,228855.0
2014-06-30,154900.0,550000.0,,175000.0,117900.0,,,379900.0,515000.0,589000.0,,,,259900.0,,,469450.0,134900.0,659000.0,,126250.0,,232690.0
2014-07-31,149900.0,569250.0,,174700.0,117300.0,,,385000.0,529000.0,599900.0,331950.0,,,259900.0,,,450000.0,138900.0,690750.0,,129900.0,,234445.0
2014-08-31,155000.0,552500.0,,169900.0,118500.0,,,385000.0,561500.0,599000.0,319900.0,,,269900.0,,,450000.0,139000.0,677450.0,,124900.0,,235000.0
2014-09-30,156900.0,574900.0,,169945.0,119900.0,,,389900.0,569900.0,599000.0,319450.0,,,284900.0,,,489450.0,141500.0,665750.0,,124942.0,,234999.5
2014-10-31,159900.0,599000.0,,169990.0,121700.0,,,389900.0,569900.0,599900.0,345000.0,,,282000.0,,,485000.0,139900.0,694000.0,,123900.0,,251537.5
