"Nashville-Davidson--Murfreesboro--Franklin Metro, TN Zillow Home Value Index - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,09/15/2009,10/15/2009,11/15/2009,12/15/2009,01/15/2010,02/15/2010,03/15/2010,04/15/2010,05/15/2010,06/15/2010,07/15/2010,08/15/2010,09/15/2010,10/15/2010,11/15/2010,12/15/2010,01/15/2011,02/15/2011,03/15/2011,04/15/2011,05/15/2011,06/15/2011,07/15/2011,08/15/2011,09/15/2011,10/15/2011,11/15/2011,12/15/2011,01/15/2012,02/15/2012,03/15/2012,04/15/2012,05/15/2012,06/15/2012,07/15/2012,08/15/2012,09/15/2012,10/15/2012,11/15/2012,12/15/2012,01/15/2013,02/15/2013,03/15/2013,04/15/2013,05/15/2013,06/15/2013,07/15/2013,08/15/2013,09/15/2013,10/15/2013,11/15/2013,12/15/2013,01/15/2014,02/15/2014,03/15/2014,04/15/2014,05/15/2014,06/15/2014,07/15/2014,08/15/2014,09/15/2014,10/15/2014,11/15/2014,12/15/2014,01/15/2015,02/15/2015,03/15/2015,04/15/2015,05/15/2015,06/15/2015,07/15/2015,08/15/2015,09/15/2015,10/15/2015,11/15/2015,12/15/2015,01/15/2016,02/15/2016,03/15/2016,04/15/2016,05/15/2016,06/15/2016,07/15/2016,08/15/2016,09/15/2016,10/15/2016,11/15/2016,12/15/2016,01/15/2017,02/15/2017,03/15/2017,04/15/2017,05/15/2017,06/15/2017,07/15/2017,08/15/2017,09/15/2017,10/15/2017,11/15/2017,12/15/2017,01/15/2018,02/15/2018,03/15/2018,04/15/2018,05/15/2018,06/15/2018,07/15/2018,08/15/2018,09/15/2018,10/15/2018,11/15/2018,12/15/2018,01/15/2019,02/15/2019,03/15/2019,04/15/2019,05/15/2019,06/15/2019,07/15/2019,08/15/2019
Cross Plains,city,All Homes,127400,126900,126400,126400,125500,125300,125300,124800,124000,124900,125700,126400,126600,125500,124600,124000,123100,121800,121300,121000,121200,120800,119700,118800,118300,118100,118300,118700,119000,119200,118900,118800,119000,119100,120400,122200,123700,124500,124500,124000,125300,127200,129000,130700,131700,131500,130500,129800,129200,129600,130400,131500,131700,131300,130500,130300,130600,132400,136200,140100,144100,149000,152400,153900,153400,151900,151500,152000,152600,153900,153200,150700,149900,150200,151400,153600,156800,160000,162500,163900,165200,165400,165200,165500,165600,165800,166800,167900,169000,170800,173300,176400,179800,181900,183100,184400,185400,185800,186100,186600,187700,189000,189500,190100,191400,192500,193900,196500,199300,201500,203300,204300,205200,206800,208100,207600,205900,205100,206100,207900
Culleoka,city,All Homes,117700,118000,118700,119700,120900,121300,122200,124800,126900,126600,125100,123700,123000,122700,121500,119500,118500,118400,117500,116900,117000,116800,116000,115600,115600,115300,113400,108600,102800,98900,98300,99000,99500,98700,97500,97500,98500,99000,99800,103500,107400,109800,111000,110300,109000,110100,112400,112800,112100,111600,111700,110900,109900,110300,111900,113300,114900,117100,119200,121000,122100,123200,124600,127300,130400,133100,133100,132500,132100,133700,137000,141000,143500,144800,145600,146400,146800,146800,147500,148400,148400,146400,143400,141700,142200,143900,146200,149200,151900,152200,153200,156500,161500,166200,169300,170900,172500,175100,178700,181500,184100,187100,188200,187700,187300,187000,186100,185300,185500,187200,188700,190500,193500,197000,198200,198000,197300,197600,200400,203500
Dickson,city,All Homes,108800,108500,108300,108300,108300,108300,108700,109000,109100,109300,109600,110000,110000,109900,109600,109300,108800,108000,107200,106800,106600,106600,106600,106300,105600,105100,104700,104100,104000,104300,104500,104300,104400,104700,104900,105100,105900,106600,106900,107100,107400,107700,107900,108000,108100,108100,108100,108100,108300,108400,108500,109000,110000,110900,111500,112400,113500,114400,115000,115700,116100,116700,117900,118700,118000,117100,117200,117700,118600,119500,120100,120600,121600,123100,124200,124700,125200,125500,126100,127400,128500,129600,131000,132700,134100,135500,137300,139500,141800,144300,145800,146000,145400,145600,146200,146800,147300,147900,148800,149600,150500,152000,153300,154100,154700,154900,155500,156900,158800,160200,161200,162200,163800,165700,167400,168900,170800,172700,174400,175500
Eagleville,city,All Homes,133900,132700,132100,132200,132600,132900,133800,135600,137000,137400,137600,138500,139800,140300,139500,138200,136900,137200,137200,136500,134800,132500,130200,129300,129500,131300,134400,136400,137100,136700,136500,136600,136800,136700,137200,138600,139900,139400,137600,134600,131200,128100,126100,124900,126300,130200,132800,132900,132600,132500,132200,133500,136100,138300,140300,142900,143900,144400,146200,148300,148000,147600,147800,148600,150000,152300,153700,154100,154700,155300,155100,155700,157900,161600,165400,168700,171200,172400,172600,171700,170800,171300,174500,177800,178700,179100,180500,183400,186600,190300,193900,198200,201500,204100,206000,208900,211500,212900,213700,214400,216400,220600,226300,231300,236300,238500,237400,234500,235100,238100,241900,246300,250100,251800,252000,251500,250800,250800,251400,252200
Elmwood,city,All Homes,67100,66800,66500,66300,66200,66100,66200,66300,66100,66200,66600,66400,65500,64800,64200,63400,62600,62000,61700,61900,62500,63100,63100,63300,64300,65200,66100,66900,67100,67700,68500,68900,69600,70700,71500,72500,72900,72900,72600,72700,73100,73400,73200,72700,72200,71700,71600,71600,72100,72900,73500,74300,75500,76000,76300,76700,76900,76000,75900,76600,77200,77700,78700,79300,79800,80600,81400,82200,82900,83700,84500,85000,85400,85900,86600,87500,88300,88800,89600,90500,91200,92300,93400,94200,94700,95500,95900,96200,96500,97900,99800,101200,101900,102900,102700,102700,103400,103500,102900,103800,105100,104500,104100,105400,107600,108600,109700,111200,112700,114500,116300,116700,117200,118700,119700,118700,117800,118600,119900,120000
Fairview,city,All Homes,149600,149000,149000,149400,149500,149800,150100,149600,149400,150200,150100,149700,150200,151100,150700,149000,146800,144900,143000,142100,141600,140900,140200,139500,138900,138600,138200,137700,137900,138200,138500,139300,139900,139900,140000,140000,140100,140700,141200,141000,140900,141100,142300,143900,145500,146600,147500,147700,147300,146800,147100,147700,148600,149500,149900,149800,150500,152100,154000,157200,160600,161700,162400,164800,166700,167700,168900,170300,170200,169200,168600,169000,170400,173700,177100,179400,181300,182400,183000,184300,187200,190500,193300,195500,197100,198300,199700,202800,206500,210400,214800,218300,220100,222600,227000,231200,233700,235100,237400,240600,244900,249200,251700,253100,255000,256700,257500,257900,258800,260700,262600,263800,264600,265600,266300,266000,264300,262800,262300,262400
Forest Hills,city,All Homes,658700,660200,661900,663300,665700,667600,667300,666700,668400,668200,661700,652900,646400,644700,643500,639400,634700,632900,632700,631500,627300,624800,629600,636200,636100,632500,630700,629600,626400,627300,631000,631600,631600,635900,640000,643600,648700,653700,656100,657600,659600,661400,663900,672100,682700,690100,695200,699400,701800,703000,706400,713600,720600,722300,722900,725100,728300,731300,732500,731900,732100,733200,735500,739100,744500,749400,753900,757800,762600,768400,775600,784300,794600,805500,815100,824200,831000,836500,840100,842300,846200,852200,860400,870000,879700,885400,891500,900300,910700,920500,925700,925500,926800,932300,937700,940700,943000,942800,939000,935200,937300,941400,943600,947100,946800,938900,929500,924300,923600,930600,940700,944700,944300,943700,951100,963400,968100,962400,956500,954000
Franklin,city,All Homes,309400,308100,307200,307200,307700,308500,307600,305900,305300,305100,304000,303600,303900,304300,304100,303200,302000,300400,299200,299100,300300,301300,301900,302000,302600,303200,303000,302200,301900,302000,302800,303500,303900,304400,305800,306500,306600,306500,307600,308100,307900,308700,310800,312700,314900,317700,321000,324600,328500,331900,334600,336500,337800,338900,340500,342500,344600,346900,349400,351600,353400,355600,357700,359900,361200,362900,365400,368500,370900,372800,373700,374200,374900,376000,377600,380400,384100,387000,389600,393300,397300,400300,403200,407000,410700,413300,415400,418900,422300,424800,426900,428300,428000,427600,427600,427800,428400,429200,430700,434000,439400,444300,446500,447800,449400,450800,451500,453100,455200,458100,461600,465400,468700,471800,473600,473900,473500,473900,474800,475600
Gallatin,city,All Homes,158700,159100,159600,159900,160100,160700,160600,159700,158900,158300,157800,157400,156400,154700,152800,151100,149900,149300,148600,148200,148700,149000,149100,149100,149600,150000,149900,150100,150700,150700,150900,151000,150700,150800,151000,150900,151100,151600,152300,153100,153700,154000,154000,154500,155600,157400,159500,161400,162000,161600,161100,161300,161700,162000,162000,162000,162200,162000,161500,161600,162400,163800,165500,166600,167100,168000,169500,171300,172600,173500,174300,175500,177000,178600,180400,182000,183400,184500,186200,188000,189600,191100,193100,195000,196600,198700,201000,203300,205600,207700,209700,211600,212900,214000,214800,215300,215900,216600,217600,219200,221000,222500,223700,225500,228300,231200,233500,235000,236500,238700,240900,242500,243800,245400,246300,245800,244700,244200,244100,244100
Goodlettsville,city,All Homes,152800,152700,152900,153500,154100,154600,154400,154100,154200,153900,153100,152700,152100,151400,150900,150100,149200,148900,148800,148900,149000,149100,149500,149100,148400,148100,148100,147200,145600,144800,144400,143400,142500,142300,142400,142700,143300,143400,143200,143300,143500,143300,144100,146400,148900,150900,152500,153100,153100,153000,153100,153700,155300,156900,157900,158500,159200,159500,159700,160200,161100,162000,162800,163700,164400,164800,165300,166000,167100,168200,169100,171000,173400,175700,177400,179300,180600,181800,183300,185000,186100,187200,188600,189900,190600,191200,192700,194700,196700,198200,199300,200000,201000,202700,204600,206700,209200,212000,214400,216900,220100,223000,224800,226000,226800,227700,228900,230400,232400,235400,238400,240900,242700,244500,245800,246200,246000,245900,245800,246100
Gordonsville,city,All Homes,95500,94800,94200,93700,93000,92600,92500,92400,92500,92600,92100,91400,90800,90100,89200,87900,86800,85900,85200,84500,84100,84100,84200,84400,84800,85600,86500,87800,88600,89200,89900,90300,90600,91200,91700,91800,91500,91100,90600,89900,89300,89100,89000,88900,88600,88400,88400,87800,87300,87300,87900,88900,89700,89900,90200,90700,91200,91700,92200,93000,93600,94000,94300,94200,94400,95100,95200,94700,95100,96400,97300,98200,99600,101200,101900,102300,102800,103700,104900,106700,108100,108700,109500,110700,111700,112300,113000,114400,116100,117800,119400,121100,122900,124600,126100,127800,129800,131500,132500,134300,137200,140100,142700,144900,146200,146800,148000,150100,152100,152600,153200,154400,155000,154000,152800,153100,153400,152300,151800,152900
Green Hill,city,All Homes,164700,165600,166500,167400,168000,168200,167900,167500,168100,168300,166900,165400,165100,164700,163600,162900,163200,163800,164000,164100,164200,164600,165200,165900,167000,168600,169400,169400,169100,169100,169300,169200,169200,169700,170200,169800,168400,167100,167000,167200,167100,166700,166400,166100,165600,165300,165400,165800,166300,167100,167600,167800,167500,167100,167000,167800,168900,169800,170500,171300,172100,172700,173700,175000,176900,178900,181200,184900,189500,193000,196300,199300,201300,203500,206300,208600,210200,212000,213600,215400,216800,218000,219000,219800,221200,223000,224600,226900,229800,233300,236600,238900,240200,241300,242600,244200,245400,245600,246500,248400,250000,251000,252000,252400,251900,251600,253500,257200,261700,265400,267600,269100,271000,273300,274400,273200,271700,272500,273800,274100
Greenbrier,city,All Homes,137000,137100,137300,137600,136900,136800,137000,136300,135200,135600,136100,137100,137600,137000,136200,135400,134600,133300,132200,131500,131100,130500,129800,129200,128500,128100,128200,128400,128800,129200,129200,129400,129700,129500,128900,127900,127100,126500,125900,125900,127000,128000,128500,128800,129300,130800,132300,132900,132900,133200,133600,133600,133700,133900,134500,135500,136400,135900,135300,135800,137800,140200,141800,142800,143100,143000,142900,143500,144000,145000,146200,146900,147100,147600,148700,150200,151500,152400,153300,154000,154800,155900,157300,158600,160200,162400,164900,167000,169000,171300,173200,175100,176900,177800,178900,180900,182400,183000,184100,184900,185700,186700,188100,189700,191900,193800,195100,196900,199600,202000,203600,204300,204700,206700,208600,208900,208500,209000,210500,212200
Hartsville,city,All Homes,79500,79300,79200,79100,79100,79100,78900,78700,78400,78000,77300,76600,76100,75200,73800,72400,71400,70300,69100,68300,68000,67800,67600,67600,67700,68000,68400,68800,69000,69300,69700,70000,70200,70600,71400,71900,72400,73100,73600,73800,74200,74700,75100,75500,75700,75800,75700,75400,75300,75600,75700,75900,76100,76500,77000,77300,77700,77900,78000,78000,78400,78800,79600,80400,80800,81000,81300,81400,81600,82100,82800,83500,83500,83400,83700,84500,85300,85800,86200,87000,87900,88600,89300,90300,91300,92300,93100,94300,95700,97200,98700,100700,102600,104200,105400,106500,107900,109600,111900,113800,115900,118700,121100,122200,122900,123400,124900,127500,130100,131200,131600,132100,132100,131600,131600,132100,132800,133700,134900,135900
Hendersonville,city,All Homes,197800,197900,198200,198300,197500,197400,197600,197300,196400,195900,195000,193900,192600,191400,190300,189100,188400,188300,188400,188700,189600,190100,189500,188500,188300,188100,187400,186900,186700,186100,185500,185100,184800,184600,185000,185800,186400,186800,187200,187400,187800,188700,190000,191400,193000,194700,196500,198200,199600,200500,201100,202500,204500,205900,206500,207100,207500,208100,209200,210100,210700,211700,213300,214900,216200,217100,218200,219100,219600,220300,221700,223300,224700,225800,226800,227800,228600,229900,231700,234000,236700,239000,240600,242300,244300,246500,248900,251700,253600,254700,255800,257300,258400,258600,259500,261400,263500,265600,268000,270600,272800,274200,274800,275300,276800,279300,281300,282000,282600,284200,285800,286700,287800,289100,290000,290500,290300,290000,289800,289600
Kingston Springs,city,All Homes,171100,170300,169700,169400,169400,169800,169100,167700,167500,168600,169500,170300,170400,169700,168200,166500,164900,163200,161400,160700,160800,160500,160000,159800,160000,160800,162300,162500,161300,160500,160300,160100,160000,160200,160200,160800,161200,161100,161400,163100,165300,167100,168500,169000,169000,169100,169300,168800,168200,168000,167700,167500,168300,169800,171200,172300,172700,172600,173100,175200,178000,179900,180400,180400,180300,180300,181100,182500,183400,184300,185100,185100,185200,186300,187600,188800,190800,193300,195000,196200,197400,198500,199800,200800,201400,202500,204300,205600,206200,206700,207500,208900,210600,212100,212700,214200,216500,218400,221200,224600,226100,225700,225700,226200,227200,228800,231700,234500,237200,240000,242100,243800,245900,248200,251400,254700,256900,258800,260700,261600
La Vergne,city,All Homes,116200,115300,114500,114000,113400,113400,113300,112700,112100,111800,111500,111300,111300,110900,110400,109800,109100,108400,107700,106900,105800,104800,103300,101500,100100,99400,99200,98700,98200,98200,98200,98100,98300,98800,99600,100800,102200,103600,104600,105200,105600,106100,106800,107800,109100,110200,110900,111700,112100,112500,113400,114900,116300,117100,117800,118700,119900,121200,122500,123600,124500,125400,126400,127100,128000,128800,129500,130500,131700,132700,133800,135100,136300,136800,137400,138500,139300,140200,141600,143200,144900,147000,149700,152300,154600,156900,158700,160400,162400,164300,166100,167700,168500,169400,170900,172700,174600,176700,178500,180300,182900,186000,188800,191200,193100,194000,194500,195300,196800,198700,200600,202500,204400,205200,205500,205500,205600,206000,206200,205600
Lafayette,city,All Homes,71800,71600,71800,72100,72300,72000,72300,73300,73900,74000,74300,74800,75500,75300,74000,72600,72000,71700,71600,71400,71500,71800,72000,72200,72400,72800,73200,73500,73600,73800,73600,73400,73300,73500,73500,73800,74300,74600,74700,74800,75100,75500,75700,75400,75300,75500,75800,76100,76300,76300,76500,76700,76900,76900,76900,77200,77500,77700,77400,76800,76700,77300,78000,78500,79300,79700,80300,81200,81800,82100,82500,82600,82500,82600,83100,83700,84300,85000,85700,86400,87200,88300,89300,90200,91100,92300,93800,95000,96300,97900,99800,101200,102400,103700,105100,106200,106900,107700,108800,109900,110600,111000,110900,110700,110400,109600,109600,111000,112300,112800,113600,114600,114800,114700,114900,115700,116800,118800,120800,121800
Lascassas,city,All Homes,157200,156600,156000,155600,155700,156100,155200,153600,152400,151900,150400,149300,149100,149100,148100,147000,145900,144900,144000,142700,141100,140200,140400,140600,140800,142000,144000,145500,146000,146200,146700,147700,148600,149100,149200,148600,147900,147500,147500,147400,147200,147300,147800,149200,151200,152700,153800,155000,156100,156600,156700,157300,158300,159300,159800,160300,161100,162400,163500,164600,166100,167700,168800,169900,171000,171900,172900,174200,175700,177500,180200,183300,185800,187700,189700,191700,192700,193100,194000,196400,199000,201800,204300,206400,207900,209400,210100,210600,212000,214100,216400,218900,221300,223700,227500,232700,237800,241400,245400,249700,256100,263300,271300,276600,279500,278400,274800,270200,267300,265700,266300,269100,272100,274800,276300,276200,274000,272000,271300,271800
Lebanon,city,All Homes,156700,156200,155900,155600,155400,155400,154600,153200,152200,152000,151800,151900,152000,151800,151300,150800,150700,151400,152100,151800,150100,148400,146800,145200,144000,143200,142300,142300,143000,143500,143500,143600,144400,145800,147000,147300,148000,149000,150300,150700,150600,150300,150200,150600,151600,152500,153200,154100,155000,155800,156900,158200,159100,159600,160300,161400,162600,163700,164900,166200,167400,168300,169300,170500,171700,172700,173400,174500,175800,176800,178000,179600,181100,182400,183800,185200,186200,186900,188300,190700,192800,194600,196500,198400,200200,202500,204500,206500,208700,211200,214000,217200,219600,221000,222100,223900,225600,226900,228400,229600,230900,232800,235000,236200,237100,238000,239200,240200,241600,243400,244600,245500,246800,248400,249000,249000,249100,250500,252600,254100
Liberty,city,All Homes,92200,92300,92400,92600,92700,93200,92000,89600,88200,88800,89000,89000,88800,88900,88500,88100,88100,88000,87800,87700,88200,88800,89400,90000,90300,89900,89500,89400,88900,87900,87200,87000,86900,87100,87700,87900,88000,88300,88600,88600,89300,90600,92000,92900,93200,93300,93400,93900,94400,94700,95300,96100,96500,96500,97100,98400,99500,99400,99100,99100,99200,99600,100000,100300,100300,100200,100700,101800,102500,103400,104400,104800,105400,106600,108200,109500,111100,113500,116000,117400,118100,119100,120700,121500,122300,123400,124300,125000,124800,124000,124000,125200,126200,125200,123800,124700,126500,127800,129600,131200,132800,135000,136700,138200,140000,142100,143500,144700,146000,147100,148200,149800,152100,154000,154700,154900,155800,158700,162300,164700
Lyles,city,All Homes,69900,69500,69200,69200,69300,69500,69600,69600,69800,70500,71100,71600,71900,71700,70800,70000,69900,70000,70100,70100,70000,69500,68300,67200,67400,68200,68900,69300,69700,69800,70000,70400,70700,71000,72000,72600,72400,72500,73000,72300,70500,69300,69000,68800,68700,68600,68500,68300,68100,68000,67800,68000,68400,68600,68600,68900,68900,68600,68600,69200,69900,70200,70300,70600,71200,72000,72200,72400,73000,73600,73900,74100,74500,74700,75100,75800,76400,76700,77200,77800,78200,78600,79100,79800,80200,80600,81400,82400,83400,84500,85600,86900,88500,90200,91200,91600,91600,91600,91900,92400,93000,94000,94500,94300,93800,93600,94000,95100,96400,97500,98500,99600,100600,101000,101200,101600,102000,102500,103300,103900
Millersville,city,All Homes,137300,137500,137400,136900,135600,135400,135700,134800,133400,132900,132500,132600,132300,131300,129900,128200,126900,126400,126500,126900,127300,127900,130600,133900,135200,135100,135300,135700,136300,136200,135100,133900,133400,132900,131100,127700,124900,124100,124200,124300,124600,124700,124400,124300,124900,125900,127100,128400,129200,129100,128700,129200,129800,129800,130100,131100,131600,131900,132200,132600,133600,135500,137200,138300,139400,140600,141500,142200,143100,143900,144200,144900,146500,148000,148900,150000,151000,152100,153300,154400,155400,156200,157500,159200,160900,162200,163700,165600,167300,168200,169400,171800,174300,176300,176500,175900,176000,177300,178400,179300,179900,181200,182400,183300,184400,185400,186900,188700,190900,193400,196200,198300,200200,202100,204700,206400,206200,205000,205200,206200
Milton,city,All Homes,185300,182600,180200,178300,175500,175800,173100,166000,161000,161100,157900,155800,159700,164800,163900,158700,154100,152200,153600,155800,156000,156400,157900,159400,158500,156700,158200,165100,171400,170500,166900,166300,166800,165400,163500,162200,162200,164000,166700,167000,164200,162000,163300,166700,169600,172100,175500,177200,175100,171200,167900,167200,169600,171800,172500,173400,174500,174000,173800,174600,176900,178600,179800,181500,184300,187500,189400,189800,191000,193500,196300,198800,200100,201500,204400,206000,205400,206200,208500,210100,209900,210700,213200,214300,215000,217300,219100,219000,220800,224200,228200,233100,240800,248800,256000,263000,269700,274300,278500,281500,285100,290000,294700,297800,301900,301900,295900,291700,292000,292300,292500,295900,301800,308400,312600,313600,311000,308300,308500,310000
Mount Juliet,city,All Homes,204100,203500,202900,202600,202700,203100,202900,202400,202400,202000,200800,199800,199100,198800,199400,200400,201400,202200,202300,201800,200500,199200,198100,196800,195800,195300,194700,193700,192600,191900,191700,191600,192100,193100,193800,194500,195500,196100,196500,197100,197400,197400,197600,198500,199700,201100,202500,203700,204600,205500,206700,207700,208900,210400,212500,215000,217300,219000,220600,222000,223100,224500,226100,227700,229200,230400,231200,232100,233400,235300,237400,239400,241400,243400,245200,247200,249500,251000,252100,254000,256400,258000,259300,260900,262600,264400,266000,267800,270200,273200,276500,279000,280300,281800,284100,286600,288900,290900,292300,293000,293800,295500,297600,299300,300800,301800,303200,305300,307600,309500,311100,313000,315100,316600,317300,316700,315600,315400,315500,315200
Mount Pleasant,city,All Homes,68800,68700,68900,69300,70200,70700,71200,72500,73200,72800,72800,72000,69700,67500,67000,67000,66900,67000,66900,66600,67200,68400,68400,68300,68800,68800,66500,63200,60900,59500,58600,58700,59000,58800,59300,60700,62300,63500,64600,65500,65900,66200,66500,66300,66300,67300,68100,68700,69100,69300,69200,69900,71000,71900,72200,72300,72800,73500,73500,72700,72300,72800,73700,74200,73900,73800,74000,74000,73500,73000,73600,75300,76800,77600,79100,80500,81100,80700,80900,82200,83200,83500,84200,84400,84300,84500,85600,87200,89000,90100,91600,93000,93900,95300,96600,98400,101500,105000,107100,108600,110700,113500,115200,115700,115800,115400,114200,113400,112800,112200,112500,114200,116100,118400,120100,120300,120100,120500,120800,121000
Murfreesboro,city,All Homes,149100,148800,148500,148300,148400,148700,148100,146900,146400,146500,146000,145100,144300,143800,143300,142800,142100,141300,140700,140300,139900,139400,139200,139300,139300,139800,140600,140700,140500,140800,141100,141400,142100,142800,143300,143600,144200,144400,144500,144900,144900,144300,144200,144500,144900,145900,146900,147500,148200,149000,149700,150600,151700,152900,154000,154900,155800,156600,157400,158500,159300,160000,160800,161700,162700,163900,165000,166300,167800,169100,170700,172900,174400,175200,176100,177500,178700,179900,181400,183100,184500,186100,187700,189300,191100,193300,194900,196300,197900,200100,202800,205600,207300,208600,210400,212500,214300,215900,217800,220100,223000,225800,228300,229900,231100,231600,231800,232100,233700,235700,237800,239800,241500,242600,243100,243400,243700,244100,244000,243600
Nashville,city,All Homes,146800,146600,146400,146500,146800,147200,146300,144800,144100,143800,142800,141400,140300,139600,139000,137900,137100,136600,136400,136100,135600,135000,135100,135200,134400,133800,133700,133500,133100,133400,133800,133800,134100,134600,135100,135500,136500,137400,137900,138600,139000,139300,140100,141500,143100,144700,145700,146800,147800,148800,149400,150300,151000,151400,152100,153400,154500,155500,156700,157900,159000,160000,161400,163100,164600,166000,167900,169900,172000,174000,176000,178500,181300,184100,186700,189200,191300,193400,195900,198500,200800,203000,205600,208000,210200,212300,214600,217700,220900,223200,225500,228200,230100,231800,233900,235900,237700,239200,240300,241800,244900,248500,251000,252800,254400,255300,256000,257200,258900,261200,262800,264200,266000,267400,266700,264700,263400,263200,263200,263300
Nolensville,city,All Homes,284900,283300,282100,280800,281000,283300,283400,280800,279500,279700,279200,279400,279900,280900,281800,281600,280700,278600,276400,276300,277900,278300,277900,277200,276900,277200,277900,277500,276100,273600,269900,267500,267400,269200,271700,274500,276400,277000,277000,275200,272000,271300,275600,281100,286500,290700,293400,296200,299600,302600,305700,309500,312600,314200,314400,314300,314800,316500,318300,319700,321000,322600,324000,326500,329100,330500,332100,333700,333800,333800,334700,335500,336800,338600,340400,342900,346800,350600,353900,357100,360300,362900,365700,368700,371000,372500,374200,378000,383600,390000,396400,402400,407000,410600,413000,413900,414700,415400,415800,417300,421300,426000,429200,430200,428300,424500,422200,421900,422200,423100,425200,428000,430300,432000,433500,434600,434200,433800,434300,435100
Nunnelly,city,All Homes,21100,21400,21700,21900,22100,22300,22500,22500,22300,22400,22600,22700,22900,22900,22800,22700,22700,22600,22600,22900,23500,23500,23100,22800,22900,23300,24000,24100,24100,24300,24200,24000,23800,24000,24300,24700,24800,24600,24500,24200,23700,23200,22900,22600,22300,22100,22300,22400,22000,21400,20800,20800,21100,21300,21800,22200,22500,22500,22400,22300,22300,22600,22900,23200,23600,24000,24000,23900,23800,23900,24300,24500,24400,24600,25000,25400,25500,25500,25500,25600,26000,26300,26400,26100,26200,26200,25900,25400,25100,25400,25800,25900,25900,25800,25700,25900,26200,26400,26600,26700,26800,26800,26800,26500,25700,24800,24400,24300,24800,25600,26100,26200,26100,25800,25400,25600,26700,28000,28800,29200
Oak Hill,city,All Homes,494100,494600,495300,496600,497900,498400,497400,496300,496300,495800,492300,490200,490200,487700,482000,477700,474500,471100,468500,465300,458700,448600,439600,433000,427200,422300,419800,417200,414100,412800,412700,412700,414300,417600,420800,423200,427500,434400,441000,444300,447800,451500,454200,456200,460200,465800,472200,476600,478600,481000,483800,486500,488200,489700,492600,496800,500400,505400,510900,513900,514600,516300,521300,527500,532700,537900,542500,546300,551700,557400,560500,565100,574200,586800,599200,608300,613400,619800,626900,632300,638900,647800,660900,675100,684200,684700,683900,687000,690200,688000,687800,692400,695600,702500,712400,719000,725700,730200,727600,724800,729900,737800,743600,750800,756200,752900,744800,745300,749000,752400,754800,762500,775800,788400,797900,806000,809000,802600,794500,789600
Orlinda,city,All Homes,117800,117600,117200,116600,116600,117100,116800,115700,115400,116800,118100,118800,118900,118700,118000,117600,117000,116300,115300,114600,114300,113900,112600,111300,110800,111000,111600,112200,112200,111700,111100,111100,111200,111400,113300,114300,112500,109900,110400,111500,111800,113500,117900,122000,124100,124900,124800,125400,126800,128200,129000,129900,130800,130400,128800,128600,129400,129400,130600,133100,135900,137800,138000,136600,135200,134100,132800,130500,129200,130600,131300,130900,130900,131500,132400,135200,139600,144300,148400,151900,154000,155100,155700,156000,157400,159900,162300,164000,165700,167100,168400,170200,172700,174500,175300,176000,177600,178700,178300,178400,179400,180100,180600,181700,183300,185500,188000,190500,193600,196900,199800,201500,201400,201800,202700,203700,202900,200900,199800,200800
Pegram,city,All Homes,178000,177100,176300,175900,175700,176000,175400,174000,173400,174100,174700,175000,174900,174300,173100,171600,170200,168600,167100,166800,167200,166800,166100,166200,166700,167600,168800,169300,168900,168200,168200,168200,167700,167500,167700,167900,168100,168100,168500,170100,172100,173900,175300,175900,176100,176700,177300,177100,176400,175600,174900,174700,175200,176200,176900,177200,177600,177800,178500,180700,183200,184800,185500,185500,184800,184300,184800,186200,187500,188400,189600,190600,191600,192600,192800,193500,195700,198300,200800,203400,205100,206300,207400,207600,207600,209200,211800,213400,213900,214700,215700,216600,218500,220200,220900,222200,224500,226800,230000,233500,235400,235500,235200,234800,235300,236800,239200,241400,244100,247200,249900,252100,254300,256800,260200,262800,264200,265400,266900,268000
Pleasant Shade,city,All Homes,67900,68100,68400,68700,68900,69000,69100,69100,68800,68700,68500,68600,68700,68200,67500,66900,66300,65900,65600,65300,66000,67000,67400,67700,68300,69100,70000,70800,71100,71300,71800,72600,73000,73100,73600,74300,74400,74500,74500,74500,74400,74200,74100,74100,74400,74900,75400,75600,75600,75800,76000,76700,78300,79100,79300,80000,80400,80200,80500,80600,80500,80900,81400,81500,81700,82300,82800,83200,83600,84100,84400,84600,85000,85600,85300,84500,84400,85400,86800,87800,88200,89300,90700,91800,92300,92700,93500,95100,96400,97300,98600,100200,101500,102200,102200,102800,103900,105000,106500,108500,110600,112800,114500,115500,116400,115600,114700,115500,117400,118400,118900,118700,118100,117300,115800,113800,113300,114600,116000,116400
